Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1M17_clean_C20H23FNO2_mmff94_E=112.51,-7.7,0.0,0.0
1M17_clean_C20H23FNO2_mmff94_E=112.51,-7.7,3.867,2.474
1M17_clean_C20H23FNO2_mmff94_E=112.51,-7.6,5.705,2.226
1M17_clean_C20H23FNO2_mmff94_E=112.51,-7.5,5.033,2.21
1M17_clean_C20H23FNO2_mmff94_E=112.51,-7.4,3.103,2.375
1M17_clean_C20H23FNO2_mmff94_E=112.51,-7.3,5.425,3.394
1M17_clean_C20H23FNO2_mmff94_E=112.51,-7.2,5.084,2.616
1M17_clean_C20H23FNO2_mmff94_E=112.51,-6.8,5.686,3.664
1M17_clean_C20H23FNO2_mmff94_E=112.51,-6.7,9.964,6.304
1M17_clean_C20H23FNO2_uff_E=502.38,-7.6,0.0,0.0
1M17_clean_C20H23FNO2_uff_E=502.38,-7.5,3.871,2.459
1M17_clean_C20H23FNO2_uff_E=502.38,-7.5,5.131,3.032
1M17_clean_C20H23FNO2_uff_E=502.38,-7.5,3.075,1.843
1M17_clean_C20H23FNO2_uff_E=502.38,-7.4,3.768,2.447
1M17_clean_C20H23FNO2_uff_E=502.38,-7.4,5.726,3.423
1M17_clean_C20H23FNO2_uff_E=502.38,-6.9,4.781,2.779
1M17_clean_C20H23FNO2_uff_E=502.38,-6.6,6.907,2.792
1M17_clean_C20H23FNO2_uff_E=502.38,-6.6,4.611,2.598
